     Flute1  Id            ;Mode ;CAP_E  ; CAP_W ; VDPPoly;   ;   VDPStop;  ;  VdPStrip;  ; FET_Vth ; C_acc  ;  t_ox  ;  VFB_Deb  ; Nox_Deb
                           ; ; [pF] ;  [pF] ;[kOhm/sq];  ;  [kOhm/sq]; ;  [Ohm/sq];  ;   [V] ;   [pF]  ;  [um]  ;    [V]    ; [cm^{-2}] 
                           ; ;      ;       ; stad ; rot ; stad ;  rot ; stad ;  rot ;        ; ; ; ; 
     Spec Limit            ; ;>2.028 ;>2.028 ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ; ;  ~82 ;  0.7 ;  <5 ;  
VPX37401_009_2-S_HM_E_Left;Quick;2.49078;2.46422;1.86522;1.87587;18.4107;18.4898;34.7671;34.7339;4.2997;87.3312;0.657996;-2.35098;5.05526e+10
VPX37401_009_2-S_HM_W_Left;Quick;2.4251;2.46863;1.8899;1.8853;19.2344;19.105;34.6717;34.7606;3.88288;86.3417;0.665537;-2.42425;5.22896e+10
VPX37401_026_2-S_HM_E_Left;Quick;2.49647;2.42069;1.89595;1.88607;18.0873;18.0022;34.4209;34.587;4.28999;88.4444;0.649714;-2.40414;5.25413e+10
VPX37401_026_2-S_HM_W_Left;Quick;2.44608;2.42696;1.91304;1.90678;20.6497;20.6432;34.8121;34.853;3.16396;86.6493;0.663175;-2.33967;4.99877e+10
VPX37401_041_2-S_HM_E_Left;Quick;2.45255;2.45667;1.87223;1.88164;18.162;18.2297;33.7639;34.9597;4.3982;88.1646;0.651776;-2.46117;5.43362e+10
VPX37401_041_2-S_HM_W_Left;Quick;2.43206;2.44069;1.90513;1.88915;19.1576;19.7749;34.7297;34.8064;3.6029;87.4007;0.657473;-2.49974;5.51661e+10
