     Flute3  Id            ;Mode ; Meander_Rsh ; ClMet_Rsh ;  ; VdPEdge   ;  ;LineW_Edge ; ;  VDPBulk  ;  ; VDPBulk_Res;     ; Diode I600; Diode Cap; Diode Vdep; Diode Rho_Bulk
                           ;     ; [kOhm/sq]   ; [kOhm/sq] ;  ; [kOhm]/sq ;  ; [um]      ; ; [kOhm/sq] ;  ;  [kOhmcm] ;      ;    [nA]   ;  [pF]    ;    [V]    ;   [kOhm cm]   
                           ;     ;             ; stad  ; rot  ; stad  ; rot  ; stad ;  rot ; stad  ;  rot ; F=1.089 ; F=1.218;           ;          ;           ;   mu_h = arora  
     Spec Limit            ;     ;             ;       ;      ;       ;      ;      ;      ;       ;      ; 3.5-8.0 ; 3.5-8.0;    <2.5   ;          ; < 350     ;               
VPX37401_009_2-S_HM_E_Left;Extended;0.264224;17.7526;17.6838;1.21619;1.21869;46.4144;46.5097;79.0981;79.3011;3.81199;4.26355;0.132773;2.74064;210.45;4.01243
VPX37401_009_2-S_HM_W_Left;Extended;0.255903;17.2638;17.181;1.04479;1.15493;42.1222;46.5628;79.0115;79.5011;3.80781;4.25888;0.33323;2.97086;182.955;4.59621
VPX37401_026_2-S_HM_E_Left;Extended;0.268636;17.7165;17.4201;1.21702;1.21109;46.175;45.9502;72.4478;72.9437;3.49149;3.90508;0.162482;2.74183;218.27;3.85793
VPX37401_026_2-S_HM_W_Left;Extended;0.26105;17.4271;17.3793;1.17276;1.18454;45.6022;46.0604;73.8904;73.5269;3.56101;3.98284;0.28916;3.0435;184.745;4.62165
VPX37401_041_2-S_HM_E_Left;Extended;0.257493;17.7736;17.7351;1.23746;1.23615;47.2932;47.2432;74.7319;74.9299;3.60157;4.0282;0.232942;2.7644;218.481;3.9107
VPX37401_041_2-S_HM_W_Left;Extended;0.252267;17.5205;17.3793;1.18179;1.18069;46.2707;46.2278;74.2348;74.4626;3.57761;4.00141;0.319428;2.9729;195.007;4.36031
