     Flute4  Id            ;Mode ; CCEdge Rc ; CCPoly Rc ; CCStrip Rc  ; CBKRPoly;     ; CBKRStrip ;  ;  GCD05 I_surf ;  GCD05 S_0   ; GCD05 Vfb_Acc_Dep
                           ;     ;  [kOhm]   ; [MOhm]    ; [kOhm]      ; [kOhm/sq]  ;  ; [Ohm/sq] ;  ;   [pA]      ;  [cm/sec]  ;    [V]      
                           ;     ;           ;           ;             ; stad    ; rot ; stad  ;  rot ;             ;            ;              
     Spec Limit            ;     ;           ;           ;             ;         ;     ;       ;      ;             ;            ;  
VPX37401_009_2-S_HM_E_Left;Extended;84.2478;16.112;62.4342;59.8845;60.3042;123.715;124.026;6.81513;1.03591;-2.34234
VPX37401_009_2-S_HM_W_Left;Extended;84.3873;15.23;57.7413;51.6579;52.0041;141.154;141.361;6.62137;1.05108;-2.44745
VPX37401_026_2-S_HM_E_Left;Extended;78.2174;16.3745;56.588;65.9471;65.4662;108.627;108.859;6.11453;0.953909;-2.25225
VPX37401_026_2-S_HM_W_Left;Extended;77.4058;16.6168;53.6551;42.2559;42.5645;91.1648;89.9536;6.72327;0.867734;-2.34234
VPX37401_041_2-S_HM_E_Left;Extended;79.921;16.2645;61.3109;53.2097;53.6553;109.893;108.881;7.55922;0.992477;-2.26727
VPX37401_041_2-S_HM_W_Left;Extended;77.2683;15.0621;55.0693;53.9212;54.0187;105.104;104.763;7.29567;1.01722;-2.34234
