     Flute1  Id            ;Mode ;CAP_E  ; CAP_W ; VDPPoly;   ;   VDPStop;  ;  VdPStrip;  ; FET_Vth ; C_acc  ;  t_ox  ;  VFB_Deb  ; Nox_Deb
                           ; ; [pF] ;  [pF] ;[kOhm/sq];  ;  [kOhm/sq]; ;  [Ohm/sq];  ;   [V] ;   [pF]  ;  [um]  ;    [V]    ; [cm^{-2}] 
                           ; ;      ;       ; stad ; rot ; stad ;  rot ; stad ;  rot ;        ; ; ; ; 
     Spec Limit            ; ;>2.028 ;>2.028 ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ; ;  ~82 ;  0.7 ;  <5 ;  
VPX37401_005_2-S_HM_E_Left;Quick;2.47725;2.44373;1.85882;1.84433;18.6447;18.3779;34.8139;35.2434;4.36797;87.4868;0.656826;-2.32235;4.97541e+10
VPX37401_005_2-S_HM_W_Left;Quick;2.445;2.47441;1.88188;1.8669;19.451;19.7101;34.6772;34.776;3.86487;86.1878;0.666725;-2.37846;5.08993e+10
VPX37401_014_2-S_HM_E_Left;Quick;2.4649;2.45382;1.88145;1.88332;18.09;18.0685;34.5418;34.5638;4.3964;86.5863;0.663657;-2.52194;5.51295e+10
VPX37401_014_2-S_HM_W_Left;Quick;2.44;2.45725;1.88045;1.89384;18.6569;18.7608;34.7183;34.7589;4.06667;86.2173;0.666497;-2.4943;5.40791e+10
VPX37401_028_2-S_HM_E_Left;Quick;2.45922;2.46118;1.88706;1.88031;18.243;18.232;34.5052;34.3985;4.38799;87.4673;0.656972;-2.47314;5.41327e+10
VPX37401_028_2-S_HM_W_Left;Quick;2.47284;2.46245;1.9048;1.90029;20.6957;20.7539;34.95;35.0272;3.15015;86.6083;0.663488;-2.29858;4.87508e+10
VPX37401_035_2-S_HM_E_Left;Quick;2.44804;2.45618;1.87495;1.88516;18.1936;18.2841;34.6724;34.3577;4.36937;88.0844;0.65237;-2.39051;5.18762e+10
VPX37401_035_2-S_HM_W_Left;Quick;2.42745;2.47167;1.90569;1.9127;20.2485;20.0392;34.9033;34.9101;3.51081;87.2227;0.658815;-2.43243;5.27792e+10
