     Flute3  Id            ;Mode ;   VDPBulk  ;  ; VDPBulk_Res;     ; Diode I600  ; Diode Cap    ; Diode Vdep; Diode Rho_Bulk 
                           ;     ;  [kOhm/sq] ;  ;  [kOhmcm] ;      ;    [nA]     ;  [pF]        ;    [V]    ;   [kOhm cm]    
                           ;     ;  stad  ;  rot ; F=1.089 ; F=1.218;             ;              ;           ;   mu_h = arora   
     Spec Limit            ;     ;        ;      ; 3.5-8.0 ; 3.5-8.0;     <2.5    ;             ; < 350      ;                
VPX37401_005_2-S_HM_E_Left;Quick;78.282;77.9685;3.77266;4.21956;0.220835;2.769;210.718;4.01847
VPX37401_005_2-S_HM_W_Left;Quick;78.0271;77.765;3.76037;4.20582;0.335181;2.94517;187.724;4.50131
VPX37401_014_2-S_HM_E_Left;Quick;73.8441;74.0586;3.55878;3.98035;0.198356;2.75933;216.283;3.9015
VPX37401_014_2-S_HM_W_Left;Quick;74.0481;73.4817;3.56861;3.99134;0.323625;2.95681;194.714;4.34574
VPX37401_028_2-S_HM_E_Left;Quick;75.2546;73.6972;3.62676;4.05637;0.201149;2.74693;219.907;3.86124
VPX37401_028_2-S_HM_W_Left;Quick;74.8959;74.0196;3.60947;4.03704;0.291404;3.05619;190.032;4.47755
VPX37401_035_2-S_HM_E_Left;Quick;72.7729;73.8512;3.50716;3.92261;0.320729;2.75336;216.858;3.93725
VPX37401_035_2-S_HM_W_Left;Quick;74.2688;73.9013;3.57925;4.00324;0.3271;2.97981;193.877;4.39484
