     Flute1  Id            ;Mode ;CAP_E  ; CAP_W ; VDPPoly;   ;   VDPStop;  ;  VdPStrip;  ; FET_Vth ; C_acc  ;  t_ox  ;  VFB_Deb  ; Nox_Deb
                           ; ; [pF] ;  [pF] ;[kOhm/sq];  ;  [kOhm/sq]; ;  [Ohm/sq];  ;   [V] ;   [pF]  ;  [um]  ;    [V]    ; [cm^{-2}] 
                           ; ;      ;       ; stad ; rot ; stad ;  rot ; stad ;  rot ;        ; ; ; ; 
     Spec Limit            ; ;>2.028 ;>2.028 ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ; ;  ~82 ;  0.7 ;  <5 ;  
VPX37408_004_2-S_HM_E_Left;Quick;2.44814;2.44343;1.97879;1.96238;17.1168;17.155;34.6611;34.4431;4.08288;87.3905;0.65755;-2.6204;5.93629e+10
VPX37408_004_2-S_HM_W_Left;Quick;2.47873;2.45892;2.00631;1.99851;17.5261;17.5604;34.3784;34.5038;3.98448;85.6429;0.670967;-2.79536;6.31939e+10
VPX37408_016_2-S_HM_E_Left;Quick;2.4551;2.46971;1.96352;1.96252;17.4011;17.2862;34.5913;34.655;4.06126;87.7441;0.654899;-2.78348;6.45778e+10
VPX37408_016_2-S_HM_W_Left;Quick;2.47765;2.4352;1.98012;1.9824;17.8794;17.8374;34.4441;34.4994;3.89369;86.3466;0.665499;-2.81277;6.47657e+10
VPX37408_027_2-S_HM_E_Left;Quick;2.46255;2.45863;1.93682;1.92986;17.5839;17.514;34.613;34.572;4.17417;87.6371;0.6557;-2.73726;6.29736e+10
VPX37408_027_2-S_HM_W_Left;Quick;2.45706;2.45186;1.95756;1.9474;18.1909;18.0524;34.4679;34.7544;4.03904;86.8356;0.661751;-2.77196;6.33715e+10
VPX37408_034_2-S_HM_E_Left;Quick;2.43382;2.45049;1.95378;1.90511;17.9337;17.8064;34.8354;34.9194;4.18979;87.9258;0.653546;-2.65979;6.09872e+10
VPX37408_034_2-S_HM_W_Left;Quick;2.42853;2.45265;1.96788;1.95091;18.3518;18.3539;34.4766;34.617;4.04955;87.0237;0.660321;-2.8358;6.5604e+10
