     Flute1  Id            ;Mode ;   VdPPoly;   ;   VdPStop;   ;  VdPStrip;   ; FET_Vth
                           ; ; [kOhm/sq];  ;  [kOhm/sq];  ;  [Ohm/sq];   ;   [V]  
                           ; ; stad ; rot ; stad ;  rot ; stad ;  rot ;        
     Spec Limit            ; ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ;        
VPX37408_010_2-S_HM_E_Right;Extended;1.92429;1.92046;17.9786;17.9551;34.3358;34.4457;3.97508
VPX37408_010_2-S_HM_W_Right;Extended;1.94796;1.94115;17.992;17.8973;34.6751;34.8526;3.9976
VPX37408_021_2-S_HM_E_Right;Extended;1.91079;1.89532;18.4298;18.5402;34.4932;34.5112;3.86967
VPX37408_021_2-S_HM_W_Right;Extended;1.94298;1.95036;18.3251;18.3538;34.7826;34.8154;3.9976
VPX37408_046_2-S_HM_E_Right;Extended;1.95061;1.95562;18.3148;17.4727;34.1421;34.3098;3.98338
VPX37408_046_2-S_HM_W_Right;Extended;1.97585;1.96178;18.305;18.3267;34.674;34.8608;4.05445
