     Flute1  Id            ;Mode ;CAP_E  ; CAP_W ; VDPPoly;   ;   VDPStop;  ;  VdPStrip;  ; FET_Vth ; C_acc  ;  t_ox  ;  VFB_Deb  ; Nox_Deb
                           ; ; [pF] ;  [pF] ;[kOhm/sq];  ;  [kOhm/sq]; ;  [Ohm/sq];  ;   [V] ;   [pF]  ;  [um]  ;    [V]    ; [cm^{-2}] 
                           ; ;      ;       ; stad ; rot ; stad ;  rot ; stad ;  rot ;        ; ; ; ; 
     Spec Limit            ; ;>2.028 ;>2.028 ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ; ;  ~82 ;  0.7 ;  <5 ;  
VPX37408_010_2-S_HM_E_Left;Quick;2.46588;2.47696;1.9627;1.95577;17.6718;17.5801;34.6149;35.6589;4.21081;86.2863;0.665964;-2.71805;6.16801e+10
VPX37408_010_2-S_HM_W_Left;Quick;2.44226;2.46892;1.97106;1.95763;18.1663;18.3724;34.6138;34.5717;3.86056;86.4293;0.664863;-2.93423;6.80183e+10
VPX37408_021_2-S_HM_E_Left;Quick;2.46226;2.4748;1.93416;1.9131;18.4175;18.4451;34.6387;34.2232;3.98799;87.8288;0.654268;-2.83627;6.62887e+10
VPX37408_021_2-S_HM_W_Left;Quick;2.45863;2.43392;1.94346;1.93272;18.6958;18.6527;34.8875;34.5316;3.78438;86.6137;0.663447;-2.92248;6.80526e+10
VPX37408_046_2-S_HM_E_Left;Quick;2.46412;2.45294;1.9942;1.95337;18.0866;18.0755;34.4567;34.5539;4.06867;88.091;0.652321;-2.72181;6.28041e+10
VPX37408_046_2-S_HM_W_Left;Quick;2.48304;2.4699;1.98115;2.00027;18.5255;18.3112;34.5956;34.6167;3.98338;87.4988;0.656736;-2.95956;6.96212e+10
