     Flute4  Id            ;Mode ; CCEdge Rc ; CCPoly Rc ; CCStrip Rc  ; CBKRPoly;     ; CBKRStrip ;  ;  GCD05 I_surf ;  GCD05 S_0   ; GCD05 Vfb_Acc_Dep
                           ;     ;  [kOhm]   ; [MOhm]    ; [kOhm]      ; [kOhm/sq]  ;  ; [Ohm/sq] ;  ;   [pA]      ;  [cm/sec]  ;    [V]      
                           ;     ;           ;           ;             ; stad    ; rot ; stad  ;  rot ;             ;            ;              
     Spec Limit            ;     ;           ;           ;             ;         ;     ;       ;      ;             ;            ;  
VPX37408_010_2-S_HM_E_Left;Extended;77.7188;25.7105;91.108;108.113;107.479;132.613;133.098;7.6286;1.10094;-2.68769
VPX37408_010_2-S_HM_W_Left;Extended;78.0138;23.7352;90.2107;86.3335;86.3928;147.512;146.042;8.1098;1.08318;-2.79279
VPX37408_021_2-S_HM_E_Left;Extended;81.5083;25.981;94.5189;110.239;108.631;135.104;134.657;8.3528;1.2159;-2.71772
VPX37408_021_2-S_HM_W_Left;Extended;79.7932;25.2768;90.9037;96.5318;96.8928;140.704;140.719;8.04593;1.23363;-2.83784
VPX37408_046_2-S_HM_E_Left;Extended;83.774;24.6771;85.7579;110.77;111.057;159.386;159.098;7.54067;1.13631;-2.58258
VPX37408_046_2-S_HM_W_Left;Extended;81.2462;23.2679;86.4829;82.2177;82.2204;113.512;116.136;7.43587;1.1401;-2.67267
