     Flute3  Id            ;Mode ; Meander_Rsh ; ClMet_Rsh ;  ; VdPEdge   ;  ;LineW_Edge ; ;  VDPBulk  ;  ; VDPBulk_Res;     ; Diode I600; Diode Cap; Diode Vdep; Diode Rho_Bulk
                           ;     ; [kOhm/sq]   ; [kOhm/sq] ;  ; [kOhm]/sq ;  ; [um]      ; ; [kOhm/sq] ;  ;  [kOhmcm] ;      ;    [nA]   ;  [pF]    ;    [V]    ;   [kOhm cm]   
                           ;     ;             ; stad  ; rot  ; stad  ; rot  ; stad ;  rot ; stad  ;  rot ; F=1.089 ; F=1.218;           ;          ;           ;   mu_h = arora  
     Spec Limit            ;     ;             ;       ;      ;       ;      ;      ;      ;       ;      ; 3.5-8.0 ; 3.5-8.0;    <2.5   ;          ; < 350     ;               
VPX37897_005_2-S_HM_E_Left;Extended;0.242564;16.5603;16.4168;1.24448;1.23494;45.4514;45.1029;76.434;76.0347;3.6836;4.11995;0.0345237;2.77983;217.419;3.84076
VPX37897_005_2-S_HM_W_Left;Extended;0.257514;17.307;16.9873;1.19749;1.20029;46.9346;47.0443;75.7504;76.0239;3.65065;4.0831;0.256978;2.77162;213.972;3.89173
VPX37897_018_2-S_HM_E_Left;Extended;0.232435;16.5428;16.348;1.23403;1.24706;44.9383;45.4129;78.1869;78.07;3.76808;4.21443;0.189557;2.75598;257.452;3.25261
VPX37897_018_2-S_HM_W_Left;Extended;0.243975;16.8251;16.8076;1.20317;1.21335;46.4255;46.8185;77.9167;77.5975;3.75505;4.19987;0.291427;2.77926;209.609;4.02854
VPX37897_043_2-S_HM_E_Left;Extended;0.231008;16.4693;16.4343;1.2436;1.23995;46.2077;46.0721;77.2476;77.0997;3.72281;4.1638;0.243276;2.74852;208.251;4.05763
VPX37897_043_2-S_HM_W_Left;Extended;0.242448;17.2218;17.1005;1.20046;1.2019;44.877;44.9306;77.6728;77.2653;3.7433;4.18672;0.279882;2.7591;221.532;3.81435
