     Flute1  Id            ;Mode ;   VdPPoly;   ;   VdPStop;   ;  VdPStrip;   ; FET_Vth
                           ; ; [kOhm/sq];  ;  [kOhm/sq];  ;  [Ohm/sq];   ;   [V]  
                           ; ; stad ; rot ; stad ;  rot ; stad ;  rot ;        
     Spec Limit            ; ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ;        
VPX37897_005_2-S_HM_E_Right;Extended;1.97131;1.93794;18.125;18.1913;34.6991;34.6777;4.07568
VPX37897_005_2-S_HM_W_Right;Extended;1.98992;1.98473;18.3065;18.2636;34.8709;35.1295;4.08609
VPX37897_018_2-S_HM_E_Right;Extended;1.97256;1.95111;18.8188;18.7707;34.6959;34.9212;4.02803
VPX37897_018_2-S_HM_W_Right;Extended;1.99019;1.98921;18.6251;18.6152;34.7728;34.9012;4.04665
VPX37897_043_2-S_HM_E_Right;Extended;1.9367;1.92205;18.8474;18.728;34.6112;34.8928;4.05225
VPX37897_043_2-S_HM_W_Right;Extended;1.97837;1.94495;18.3158;18.4986;34.1971;34.9946;4.0955
