     Flute4  Id            ;Mode ; CCEdge Rc ; CCPoly Rc ; CCStrip Rc  ; CBKRPoly;     ; CBKRStrip ;  ;  GCD05 I_surf ;  GCD05 S_0   ; GCD05 Vfb_Acc_Dep
                           ;     ;  [kOhm]   ; [MOhm]    ; [kOhm]      ; [kOhm/sq]  ;  ; [Ohm/sq] ;  ;   [pA]      ;  [cm/sec]  ;    [V]      
                           ;     ;           ;           ;             ; stad    ; rot ; stad  ;  rot ;             ;            ;              
     Spec Limit            ;     ;           ;           ;             ;         ;     ;       ;      ;             ;            ;  
VPX37897_005_2-S_HM_E_Left;Extended;86.4908;20.3661;74.5641;69.8914;71.7258;116.115;116.106;6.91373;1.20799;-2.58258
VPX37897_005_2-S_HM_W_Left;Extended;85.4844;18.9576;74.0452;91.53;90.992;120.036;119.789;6.84207;1.24904;-2.64264
VPX37897_018_2-S_HM_E_Left;Extended;84.8033;23.5098;78.8954;112.771;112.802;146.836;144.848;6.98247;1.17808;-2.67267
VPX37897_018_2-S_HM_W_Left;Extended;83.5154;20.702;81.654;67.5177;67.6547;129.317;128.732;7.3192;1.11253;-2.67267
VPX37897_043_2-S_HM_E_Left;Extended;83.0071;22.0815;81.9284;104.759;104.957;119.822;119.315;7.22053;1.07869;-2.52252
VPX37897_043_2-S_HM_W_Left;Extended;83.7228;20.1561;75.9357;81.527;81.8457;95.9681;97.0218;7.17907;1.08182;-2.55255
