     Flute3  Id            ;Mode ;   VDPBulk  ;  ; VDPBulk_Res;     ; Diode I600  ; Diode Cap    ; Diode Vdep; Diode Rho_Bulk 
                           ;     ;  [kOhm/sq] ;  ;  [kOhmcm] ;      ;    [nA]     ;  [pF]        ;    [V]    ;   [kOhm cm]    
                           ;     ;  stad  ;  rot ; F=1.089 ; F=1.218;             ;              ;           ;   mu_h = arora   
     Spec Limit            ;     ;        ;      ; 3.5-8.0 ; 3.5-8.0;     <2.5    ;             ; < 350      ;                
VPX37400_003_2-S_HM_E_Left;Quick;72.4913;72.0338;3.49359;3.90743;0.172865;2.78698;228.227;3.74112
VPX37400_003_2-S_HM_W_Left;Quick;72.5967;72.9142;3.49867;3.91311;0.193086;2.79198;225.583;3.79019
VPX37400_015_2-S_HM_E_Left;Quick;73.6817;73.2993;3.55096;3.97159;0.183389;2.80824;224.21;3.81867
VPX37400_015_2-S_HM_W_Left;Quick;73.0409;72.981;3.52007;3.93705;0.168459;2.78512;218.711;3.8743
VPX37400_027_2-S_HM_E_Left;Quick;78.9709;78.7294;3.80586;4.25669;0.185019;2.81557;202.227;4.23378
VPX37400_027_2-S_HM_W_Left;Quick;77.4737;79.5488;3.7337;4.17599;0.195294;2.80331;217.062;3.94715
VPX37400_037_2-S_HM_E_Left;Quick;78.2118;78.5813;3.76928;4.21577;0.181968;2.7906;215.52;3.93439
VPX37400_037_2-S_HM_W_Left;Quick;77.0644;76.6435;3.71398;4.15393;0.182725;2.78757;215.108;3.93646
