     Flute1  Id            ;Mode ;CAP_E  ; CAP_W ; VDPPoly;   ;   VDPStop;  ;  VdPStrip;  ; FET_Vth ; C_acc  ;  t_ox  ;  VFB_Deb  ; Nox_Deb
                           ; ; [pF] ;  [pF] ;[kOhm/sq];  ;  [kOhm/sq]; ;  [Ohm/sq];  ;   [V] ;   [pF]  ;  [um]  ;    [V]    ; [cm^{-2}] 
                           ; ;      ;       ; stad ; rot ; stad ;  rot ; stad ;  rot ;        ; ; ; ; 
     Spec Limit            ; ;>2.028 ;>2.028 ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ; ;  ~82 ;  0.7 ;  <5 ;  
VPX37400_006_2-S_HM_E_Left;Quick;2.47078;2.46451;1.86103;1.88183;18.7444;18.3403;34.665;34.8036;4.02803;86.4202;0.664932;-2.76057;6.31242e+10
VPX37400_006_2-S_HM_W_Left;Quick;2.46392;2.45951;1.88073;1.87486;18.9853;18.687;34.809;34.9646;3.86056;85.2854;0.67378;-2.92503;6.70858e+10
VPX37400_019_2-S_HM_E_Left;Quick;2.46539;2.45431;1.87732;1.86365;18.9918;18.8209;34.7273;34.7305;3.86056;86.7439;0.662451;-2.96855;6.963e+10
VPX37400_019_2-S_HM_W_Left;Quick;2.47078;2.44186;1.8555;1.84504;18.9355;18.9933;34.8957;35.0316;3.74174;85.2317;0.674204;-3.14967;7.42853e+10
VPX37400_049_2-S_HM_E_Left;Quick;2.45735;2.43833;1.86995;1.86871;18.4829;18.3771;34.6952;33.6804;4.03303;87.2141;0.658879;-2.81888;6.53087e+10
VPX37400_049_2-S_HM_W_Left;Quick;2.47373;2.45833;1.89587;1.8751;18.5922;18.9146;34.7343;34.9805;3.84625;86.3534;0.665447;-2.95317;6.85131e+10
