     Flute1  Id            ;Mode ;CAP_E  ; CAP_W ; VDPPoly;   ;   VDPStop;  ;  VdPStrip;  ; FET_Vth ; C_acc  ;  t_ox  ;  VFB_Deb  ; Nox_Deb
                           ; ; [pF] ;  [pF] ;[kOhm/sq];  ;  [kOhm/sq]; ;  [Ohm/sq];  ;   [V] ;   [pF]  ;  [um]  ;    [V]    ; [cm^{-2}] 
                           ; ;      ;       ; stad ; rot ; stad ;  rot ; stad ;  rot ;        ; ; ; ; 
     Spec Limit            ; ;>2.028 ;>2.028 ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ; ;  ~82 ;  0.7 ;  <5 ;  
VPX37400_003_2-S_HM_E_Left;Quick;2.45745;2.47696;1.89148;1.86678;18.3257;18.4695;34.7766;34.7159;4.0037;86.4398;0.664782;-2.75382;6.29158e+10
VPX37400_003_2-S_HM_W_Left;Quick;2.4702;2.49206;1.88756;1.88412;18.851;18.8271;34.6961;34.7127;3.82162;85.0688;0.675496;-2.90096;6.62566e+10
VPX37400_015_2-S_HM_E_Left;Quick;2.45618;2.45471;1.86482;1.86016;18.3567;18.3559;34.8408;34.7656;3.99069;86.4161;0.664964;-2.73403;6.27475e+10
VPX37400_015_2-S_HM_W_Left;Quick;2.45422;2.44735;1.87321;1.86417;18.9903;18.9302;34.8152;34.873;3.85886;84.699;0.678445;-2.9371;6.72244e+10
VPX37400_027_2-S_HM_E_Left;Quick;2.47314;2.4449;1.96716;1.96431;18.5427;18.5453;34.673;34.7189;4.18198;86.348;0.665488;-2.73269;6.14257e+10
VPX37400_027_2-S_HM_W_Left;Quick;2.46206;2.49137;1.9923;1.96555;18.9386;18.8911;34.841;34.9404;4.03784;85.7922;0.6698;-2.83376;6.44551e+10
VPX37400_037_2-S_HM_E_Left;Quick;2.46735;2.46824;1.91133;1.91246;18.7233;18.8133;34.7823;34.7542;4.06667;87.1315;0.659504;-2.81538;6.45597e+10
VPX37400_037_2-S_HM_W_Left;Quick;2.46196;2.46745;1.93039;1.9129;19.1236;18.8645;34.758;34.82;4.0037;86.1566;0.666967;-2.8686;6.54332e+10
