     Flute1  Id            ;Mode ;   VdPPoly;   ;   VdPStop;   ;  VdPStrip;   ; FET_Vth
                           ; ; [kOhm/sq];  ;  [kOhm/sq];  ;  [Ohm/sq];   ;   [V]  
                           ; ; stad ; rot ; stad ;  rot ; stad ;  rot ;        
     Spec Limit            ; ; 2.2-2.4 ;2.2-2.4 ;18- 20 ;18 - 20 ;32 - 35 ;32 - 35 ;        
VPX37400_006_2-S_HM_E_Right;Extended;1.82946;1.83497;18.4666;18.7098;34.5706;34.742;3.87107
VPX37400_006_2-S_HM_W_Right;Extended;1.90156;1.89322;18.3628;18.4767;34.8116;35.0321;4.02342
VPX37400_019_2-S_HM_E_Right;Extended;1.83314;1.83895;18.758;18.6933;34.7488;34.7148;3.77838
VPX37400_019_2-S_HM_W_Right;Extended;1.87579;1.84934;18.7395;18.4857;34.8022;34.9502;3.85546
VPX37400_049_2-S_HM_E_Right;Extended;1.85366;1.84647;18.7019;18.6821;34.6363;34.5616;3.88919
VPX37400_049_2-S_HM_W_Right;Extended;1.88755;1.87502;18.4616;18.55;34.9279;35.0598;4.01181
